"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"487","a","a","GO:0198738","cell-cell signaling by wnt","36/1064","420/23239",0.000247471364615013,0.00258447507275555,0.00190638267262057,"13205/21410/14634/218581/29806/11352/18128/228357/19273/58198/12316/26416/12443/666048/12447/27041/14165/13194/74493/20586/56332/14783/93840/20378/20319/18741/70433/76365/26563/140577/16392/319478/57265/14734/15364/328949",36
"513","a","a","GO:0044403","symbiont process","31/1064","347/23239",0.000320321550092355,0.00317574152781621,0.00234251770704659,"13205/14114/11846/19360/21973/107373/13006/18128/12125/22038/66949/27979/19205/55944/53817/18458/13194/13669/15510/98415/15161/16201/20586/230908/72462/21454/21974/110532/18552/14268/29869",31
"539","a","a","GO:0031644","regulation of neurological system process","18/1064","161/23239",0.000431376307829326,0.00407046363936911,0.00300249030583677,"116837/192170/16592/19736/81907/54377/13618/18216/15234/14182/56320/225908/17967/231637/14739/14062/67888/12404",18
"556","a","a","GO:0110110","positive regulation of animal organ morphogenesis","13/1064","98/23239",0.000524407170250532,0.0047970051580831,0.00353840809309522,"16869/18128/16449/58198/20474/14165/12159/18510/12977/14464/14182/24063/15364",13
"571","a","a","GO:1905508","protein localization to microtubule organizing center","7/1064","33/23239",0.000620372123519735,0.00552576641019505,0.0040759632191434,"54141/74470/20878/20460/18226/209586/18536",7
"593","a","a","GO:0104004","cellular response to environmental stimulus","26/1064","287/23239",0.000764324253446539,0.00652583751207051,0.00481364424385191,"13205/20528/20877/52033/22596/19361/18538/13605/59001/19362/12144/74041/12530/60530/667742/72440/26416/57741/13194/98415/80750/12649/18148/76257/20319/23967",26
"668","a","a","GO:0009611","response to wounding","37/1064","479/23239",0.00142226172044772,0.0108287771110735,0.0079876154611971,"14114/13361/224794/12266/20878/18706/14234/68169/26416/109620/229521/77579/14165/16475/13838/14056/19716/15289/15170/17101/18039/13052/64074/15200/14268/93840/17242/22003/208177/27528/12484/14062/71436/19091/208936/18213/230959",37
"703","a","a","GO:1905314","semi-lunar valve development","6/1064","29/23239",0.00174307543094154,0.0126106424491731,0.00930197025660801,"18128/16449/56198/12159/14464/20564",6
"739","a","a","GO:0110111","negative regulation of animal organ morphogenesis","7/1064","41/23239",0.00237493547572797,0.0163449551144147,0.0120565059974282,"21410/18128/58198/14234/12159/18510/17300",7
"761","a","a","GO:0050918","positive chemotaxis","7/1064","42/23239",0.00273918736545617,0.0183068422348358,0.01350365000413,"14165/15289/18654/11600/18186/18213/20315",7
"874","a","a","GO:0007626","locomotory behavior","21/1064","250/23239",0.00564962523499077,0.0328764232782186,0.0242505893502434,"11352/11784/60344/18472/13838/320790/15258/104156/17268/15902/18216/56320/18516/11906/320840/268890/20315/11899/13482/11496/15430",21
