"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"149","C1","C1","GO:0198738","cell-cell signaling by wnt","53/1240","420/23239",5.57088197247837e-09,1.98532773650068e-07,1.43099447911914e-07,"56332/140577/11789/77578/68339/12443/12447/12558/12560/53883/27373/68588/12387/18163/319478/76441/13194/13205/218581/70433/14165/14180/14184/57265/14366/27041/14734/14783/15364/21410/16392/16400/29806/110648/328949/17295/77583/18741/19273/19353/68031/26563/72780/58198/20319/26941/20586/20682/81004/76365/74493/666048/93840",53
"153","C1","C1","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","33/1240","199/23239",6.21649932502423e-09,2.15749094221429e-07,1.55508713765312e-07,"11658/12404/12484/320873/320865/12558/12560/12561/12563/12564/53883/53870/13052/233651/13640/13723/17075/69524/270120/71436/14464/93842/16579/219228/279653/18530/235472/19876/268902/237979/245450/23964/210801",33
"161","C1","C1","GO:0010608","posttranscriptional regulation of gene expression","58/1240","487/23239",9.18521728431089e-09,3.02941017265161e-07,2.18355345183095e-07,"211064/11792/11803/12159/12317/53872/12567/72068/231464/20430/53817/13205/72162/245474/14000/224045/13665/27979/55944/192170/74203/13690/217869/276770/107508/14538/74412/14786/53379/11991/76936/140486/319765/140488/16201/64602/243574/29806/83557/380669/67070/75593/17347/68092/17975/18148/13865/19205/69956/66704/100503670/211006/20425/67843/230908/636931/64930/72322",58
"207","C1","C1","GO:0150063","visual system development","48/1240","388/23239",5.41664844499519e-08,1.38948807936833e-06,1.00152218388012e-06,"11481/208936/19378/11789/93760/12159/320790/29876/12387/13836/14107/270120/14165/14180/14184/17300/114142/14366/234267/15258/15289/15312/81896/106633/16449/30841/16542/16869/16886/23937/17268/17536/77579/18741/19126/98711/19893/50524/237979/268396/20586/20662/20666/20682/20897/21834/269831/22346",48
"216","C1","C1","GO:0071900","regulation of protein serine/threonine kinase activity","50/1240","418/23239",8.40984701647869e-08,2.0589720517387e-06,1.4840761978634e-06,"11789/66165/12159/12367/268697/12443/12447/12449/66671/12453/240665/12484/23834/54124/13205/19252/63953/67603/18218/13614/13838/319955/14056/14062/14164/14165/14182/14366/71111/15234/15516/85305/16590/26399/17295/18226/18479/54635/18767/74055/21672/19087/15170/19876/20319/114715/24063/20460/20963/93840",50
"233","C1","C1","GO:0110110","positive regulation of animal organ morphogenesis","20/1240","98/23239",1.91612563901063e-07,4.3667927652989e-06,3.14751878176763e-06,"12159/12977/12387/13614/14164/14165/14182/114142/14464/15111/15364/16449/16869/18510/19876/268902/58198/20474/20682/24063",20
"254","C1","C1","GO:0009314","response to radiation","46/1240","393/23239",5.13227991415724e-07,1.07292938362894e-05,7.73351420135754e-06,"68048/20877/12189/12367/12443/12530/12649/233805/13194/72162/76843/13605/13665/319955/14048/211651/60530/209334/245650/15312/15902/85305/16590/14725/320974/17536/56428/56349/18148/98415/11545/52033/18971/59001/19046/58186/19361/623474/66704/72440/19822/19893/20319/77011/235559/209456",46
"290","C1","C1","GO:0099173","postsynapse organization","27/1240","184/23239",1.75913544058954e-06,3.22103765156223e-05,2.3216756667817e-05,"11603/11838/239027/12323/53872/12404/12558/18163/56320/112405/13838/13841/13845/104156/223254/14432/15387/16400/545156/16975/77579/56376/235072/231637/81907/22346/241514",27
"377","C1","C1","GO:0140013","meiotic nuclear division","24/1240","174/23239",1.88172867731492e-05,0.000265039238104568,0.000191036310783667,"20878/237911/12235/12317/12323/12447/107995/12617/268465/105988/211651/67141/60530/67121/78658/215387/72787/30939/19361/70099/64707/21973/21974/235559",24
"406","C1","C1","GO:0120031","plasma membrane bounded cell projection assembly","48/1240","489/23239",3.69815786574897e-05,0.000483675326776528,0.000348625926882636,"11603/108897/68743/11789/277939/207607/53883/12808/23790/20430/56320/75974/13836/214459/14432/234267/15519/81896/106633/320299/16590/16776/17427/77579/18536/70235/11758/216363/19353/108911/19684/19726/104215/19893/212892/24050/235072/26941/71982/219140/231637/20460/70415/67046/264134/209012/93840/74682",48
"407","C1","C1","GO:0051099","positive regulation of binding","26/1240","205/23239",3.81712488700086e-05,0.000498008185503061,0.000358956836651627,"11603/12159/67849/68588/12387/13665/55944/13806/13838/17300/15111/15258/219150/97165/15400/15516/16392/17295/18102/11545/18741/19384/20586/233744/16765/21849",26
"417","C1","C1","GO:0099175","regulation of postsynapse organization","18/1240","117/23239",4.75286091704285e-05,0.000605220418932795,0.000436233807758875,"11838/239027/12323/53872/12404/12558/56320/112405/13838/13841/14432/15387/545156/16975/56376/231637/22346/241514",18
"464","C1","C1","GO:0120032","regulation of plasma membrane bounded cell projection assembly","23/1240","183/23239",0.000119990347352079,0.00137316539749901,0.000989757039410527,"11603/68743/11789/12808/23790/20430/56320/75974/13836/14432/234267/15519/106633/16590/17427/216363/19353/108911/19684/104215/235072/231637/67046",23
"484","C1","C1","GO:0104004","cellular response to environmental stimulus","31/1240","287/23239",0.000159313237451034,0.00174783737782023,0.00125981498775981,"20877/12367/12530/12649/12387/13194/13205/72162/13605/13665/60530/209334/56428/56349/18148/98415/11545/52033/667742/18971/59001/19353/19361/226594/72440/19822/19893/20319/20528/76257/20682",31
"503","C1","C1","GO:0006979","response to oxidative stress","39/1240","399/23239",0.000208859041568843,0.00220485389807268,0.00158922564642526,"11792/11946/12159/12350/12367/12494/12387/13605/112405/13665/319955/104156/14056/211651/15234/11991/76936/15505/79464/16881/17279/17295/56349/71805/11545/19017/21672/11758/72446/19224/19663/68031/19823/50880/20541/70415/21974/64930/56085",39
"522","C1","C1","GO:0007611","learning or memory","30/1240","282/23239",0.00026268711853338,0.00267117585775357,0.00192534352637367,"223921/11838/11980/56710/12367/18163/14156/114142/63985/14799/16002/16400/545156/16590/259277/110648/320974/17242/17536/17967/18216/18430/18479/19224/19283/20614/66673/20897/20983/50876",30
"529","C1","C1","GO:1905508","protein localization to microtubule organizing center","8/1240","33/23239",0.000269507612603186,0.00270526544975977,0.00194991479340401,"11789/20878/277939/244329/18226/18536/71982/20460",8
"551","C1","C1","GO:0050920","regulation of chemotaxis","24/1240","210/23239",0.000370079473839535,0.00356370038305865,0.00256866182828848,"11603/12317/12977/19252/13614/13642/14164/14165/14182/15289/83964/85305/16542/17295/18654/19353/19876/268902/20347/20358/64074/20908/212168/67263",24
"561","C1","C1","GO:0007626","locomotory behavior","27/1240","250/23239",0.000410744800414545,0.00388088058754668,0.00279728056622454,"11496/11784/11899/320790/56320/13482/13838/104156/60344/14366/63985/15258/15430/15902/545156/110648/268890/171166/17268/17918/320840/18216/18516/20614/20618/64930/11906",27
"611","C1","C1","GO:1905314","semi-lunar valve development","7/1240","29/23239",0.000670306808746432,0.0058254159647194,0.00419887252407964,"12159/14464/15213/16449/19876/268902/20897",7
"658","C1","C1","GO:0061982","meiosis I cell cycle process","15/1240","113/23239",0.000987560692117503,0.0079695247342613,0.00574431399222403,"20878/237911/12447/12530/12617/268465/105988/211651/67141/72787/30939/19361/21973/21974/235559",15
"671","C1","C1","GO:0072350","tricarboxylic acid metabolic process","8/1240","40/23239",0.0010714080507536,0.00847865387407096,0.00611128664607434,"104112/12974/78920/14661/64602/17448/18597/66945",8
"690","C1","C1","GO:0110111","negative regulation of animal organ morphogenesis","8/1240","41/23239",0.00126972622552176,0.00977137138771093,0.00704305805644106,"11789/12159/12387/17300/21410/18510/58198/21834",8
"698","C1","C1","GO:0075522","IRES-dependent viral translational initiation","4/1240","10/23239",0.00130694328360381,0.00992828159647531,0.0071561565833649,"13669/27979/55944/19205",4
"699","C1","C1","GO:1905097","regulation of guanyl-nucleotide exchange factor activity","4/1240","10/23239",0.00130694328360381,0.00992828159647531,0.0071561565833649,"13665/13838/17295/16765",4
"700","C2","C2","GO:0030198","extracellular matrix organization","59/1017","248/23239",3.65747985957511e-27,1.88616236358289e-23,1.32323771340628e-23,"11352/237360/216725/223838/77794/11606/69538/14595/67896/12814/12816/12818/12819/12842/12843/12825/12826/12827/12828/12829/12831/12832/68553/329941/12840/26427/14219/13078/18214/407800/58859/268780/100952/13805/23871/14114/23876/14268/14758/15530/241226/16412/16416/16948/17022/76293/17385/68169/18073/18595/26432/18858/50706/53614/20356/94214/72043/21808/21810",59
"702","C2","C2","GO:0061448","connective tissue development","58/1017","275/23239",7.34395857434645e-24,1.26242647893016e-20,8.85655635790483e-21,"239337/108153/72345/11749/108012/14705/269941/12814/12816/12818/12842/12831/12833/12834/12835/14219/13038/67800/192119/13653/20378/14633/14634/14683/15530/16000/16416/16905/16998/17132/17181/17260/17313/18028/23967/107587/18596/18706/18933/218772/26564/56788/68427/17129/20613/20583/20678/20855/72043/21808/21813/21827/21833/83925/22418/22433/235320/21417",58
