"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"23","C1","C1","GO:0033044","regulation of chromosome organization","60/1240","346/23239",4.94284517506836e-16,1.14115251650491e-13,8.22525631878652e-14,"11789/20877/56208/11799/12189/12235/12237/268697/12461/12462/12465/12466/12468/12469/52563/12544/23834/67849/229841/12649/12704/12387/70640/72162/245474/13433/13626/50912/67141/14156/14461/209334/219150/53379/11991/16002/16392/16468/17216/244329/17345/105837/67052/59126/68501/11545/55982/208084/30939/19822/70385/20460/20937/21335/21454/74493/21973/21849/218973/74335",60
"24","C1","C1","GO:0071103","DNA conformation change","45/1240","208/23239",5.3585658095627e-16,1.18558268536575e-13,8.54550231735526e-14,"14312/268697/67849/12615/27221/110749/104721/13368/72162/15201/320332/15364/15289/53379/17216/17217/17219/17220/71567/244329/23942/53605/50927/68298/78658/54392/76044/215387/18148/108907/70645/208084/59001/19361/19646/68275/56086/20586/54380/70099/20682/20937/21969/21973/21974",45
"25","C1","C1","GO:1901990","regulation of mitotic cell cycle phase transition","50/1240","254/23239",7.56806197867486e-16,1.60745636427054e-13,1.15863045702997e-13,"11504/11789/11792/20877/11799/12189/12235/12237/268697/12443/52563/12530/12544/23834/67849/12567/229841/108000/12649/269582/52468/27214/233805/13194/13205/76843/52679/14056/67141/14165/209334/15902/381293/105837/67052/59126/68501/57913/18767/53317/19192/15170/108911/19684/70385/20460/77011/235559/68612/74335",50
"26","C1","C1","GO:1901987","regulation of cell cycle phase transition","53/1240","284/23239",1.09059294379601e-15,2.22732635829108e-13,1.60542345896449e-13,"11504/11789/11792/20877/11799/12189/12235/12237/268697/12443/52563/12530/12544/23834/67849/12567/229841/108000/12649/269582/52468/27214/233805/13194/13205/76843/226419/52679/14056/67141/14165/209334/15902/381293/105837/67052/59126/18148/68501/55982/57913/18767/53317/19192/15170/108911/19684/70385/20460/77011/235559/68612/74335",53
"27","C1","C1","GO:0001822","kidney development","52/1240","275/23239",1.15328919735629e-15,2.26813542146738e-13,1.63483802011208e-13,"11481/11504/11789/71371/12125/12159/73230/108000/12387/233651/13642/17075/13838/13841/14048/14164/14165/14182/14260/17300/15229/231470/14537/14734/15213/21410/15902/15903/16400/16449/269152/16776/16869/83557/114249/71805/18510/18654/74055/19126/98711/268902/58198/20474/55994/20682/24063/20897/64930/243931/93840/13003",52
"28","C1","C1","GO:0006403","RNA localization","40/1240","171/23239",1.35980067204962e-15,2.57876484592266e-13,1.85873505397459e-13,"223921/24015/11838/66165/12461/432508/70640/68278/53817/245474/276770/50912/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/55989/18148/103468/59015/18226/71805/56698/107939/68879/19384/109095/110379/225027/21454/107829/64930/103573/72322",40
"29","C1","C1","GO:0048568","embryonic organ development","71/1240","488/23239",1.28940110641604e-14,2.36093788795489e-12,1.70172864716106e-12,"19378/216285/93760/12159/12160/12166/277939/207607/320790/12808/12824/241324/68588/12387/16007/52679/108961/13614/112405/192170/13836/14048/14165/14180/14182/17300/57265/14461/15111/15213/15258/21410/15399/15400/15402/15404/15430/15902/15903/81896/106633/16002/30841/16542/16590/16869/15531/18510/54635/18741/106522/19353/98711/72780/12393/58198/212712/20474/20541/26941/20586/20666/20682/20460/20897/76365/107829/21849/93840/226841/243905",71
"30","C1","C1","GO:0051054","positive regulation of DNA metabolic process","46/1240","237/23239",1.88815525513745e-14,3.3420348015933e-12,2.40888859918589e-12,"20877/12189/12301/12461/12462/12465/12466/12468/12469/12387/27214/53817/72162/245474/13433/52679/108961/14048/14165/14182/14235/15234/219150/53379/11991/15519/15516/16009/17295/72199/18148/26430/11545/55982/19017/19353/19361/19718/106344/64074/66592/21454/74493/21974/21849/27223",46
"31","C1","C1","GO:1902850","microtubule cytoskeleton organization involved in mitosis","33/1240","128/23239",2.08033460905822e-14,3.56341186261263e-12,2.56845386707494e-12,"20878/20877/66165/77744/268697/107995/12615/229841/71877/14048/14165/16551/71819/16563/16569/16211/244329/17865/67052/18226/108907/70235/26934/72080/24061/13006/50850/70385/24063/20460/16765/21335/72119",33
"32","C1","C1","GO:0051304","chromosome separation","28/1240","94/23239",3.71784546474177e-14,6.16929981805588e-12,4.44673885190825e-12,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/268465/105988/67141/209334/105837/68298/78658/215387/67052/59126/68501/30939/70385/20460/21335/21973/21974/74335",28
