,status,family,pval,qval,genes,num_cells_expressed,C1,C3,C2,C4,cluster
Shmt1,OK,negbinomial.size,0.000289323931967063,0.00151345007600339,Shmt1,209,23.1326311172011,13.508968287646,5.52566502253606,19.9012789254678,C1
Sidt2,OK,negbinomial.size,6.79785197483481e-08,6.75218300789963e-07,Sidt2,259,15.4854361164932,36.9097160743185,11.370901949569,11.1360756824919,C3
Siglecf,OK,negbinomial.size,4.72375084474846e-05,0.000296542738487064,Siglecf,22,0.189021344294446,2.95738077179641,0.00153192170085126,0,C3
Siglecg,OK,negbinomial.size,2.78801235193522e-20,8.81135205969108e-19,Siglecg,31,0.325050522515009,5.30260182534672,0,0,C3
Simc1,OK,negbinomial.size,0.000313143161512788,0.00161744220028478,Simc1,207,6.46685185661659,8.17355730478253,0.793668787891978,2.62011670107806,C3
Sin3b,OK,negbinomial.size,0.000312323716583034,0.00161536789964116,Sin3b,432,20.9728198033484,33.8475986664802,12.8146643848972,44.0239384233416,C4
Sipa1l2,OK,negbinomial.size,0.0162436760807694,0.0476819729408802,Sipa1l2,109,5.16376274990168,3.9954634592552,1.75105967339455,0.702840047163113,C1
Six4,OK,negbinomial.size,1.00596858555221e-13,1.90290792881737e-12,Six4,63,4.51974593663399,0.501804614334963,1.79939938580243,0,C1
Ska1,OK,negbinomial.size,0.0028828274745601,0.0111457198092175,Ska1,82,5.19049378276999,0.549742752822437,5.11176841998887,2.01869991947118,C1
Ska2,OK,negbinomial.size,0.000317777633769405,0.00163819861760348,Ska2,305,34.3242760448191,16.7602222910458,21.0681847328656,7.53459059732877,C1
Ska3,OK,negbinomial.size,1.32602878117796e-08,1.44548374680441e-07,Ska3,108,26.5647818532861,3.58719100723319,11.3361015862192,13.7402172883072,C1
Skap2,OK,negbinomial.size,0.00779269078189145,0.0258077707331281,Skap2,136,23.9718708126971,10.0976903195524,23.0022092036418,2.89317534585815,C1
Skida1,OK,negbinomial.size,0.000361255204288163,0.00182873895818916,Skida1,106,4.1925710738087,0.579290217748441,1.53350084258668,0.0399377520199509,C1
Skiv2l2,OK,negbinomial.size,6.3206106432839e-05,0.000384406688910453,Skiv2l2,364,43.2885639528274,27.2937559080894,13.4512276663083,15.5432267699292,C1
Skp2,OK,negbinomial.size,9.05213486973812e-11,1.26151257670034e-09,Skp2,266,18.716621480927,6.65504206656386,3.57247348403218,5.68888609086124,C1
Slc10a3,OK,negbinomial.size,0.00217289360532188,0.00874802204859324,Slc10a3,106,11.498270541605,21.0825115698349,18.078731708392,60.6890132747232,C4
Slc11a2,OK,negbinomial.size,1.20202177220478e-05,8.4582090021171e-05,Slc11a2,169,3.38439894730515,11.1705483885908,2.39176092963602,6.7146088655313,C3
Slc12a6,OK,negbinomial.size,2.02781520812456e-15,4.40604510508552e-14,Slc12a6,220,5.49500892040391,13.9384217371403,4.20708179218254,41.3046144409929,C4
Slc12a7,OK,negbinomial.size,1.5109038667372e-09,1.8687265805616e-08,Slc12a7,179,8.78547510643997,19.6298128821679,1.63279461485682,7.214769660757,C3
Slc15a2,OK,negbinomial.size,0.00385614680737492,0.0142533380411677,Slc15a2,21,0.754492418360157,2.23415275561053,3.27435065527488,0.0428091504237107,C2
Slc16a13,OK,negbinomial.size,4.41214484937683e-09,5.17351132156192e-08,Slc16a13,54,3.78033602302686,5.48205567596384,0.00238083789598131,9.91917849140993,C4
Slc16a2,OK,negbinomial.size,4.2593599149053e-09,5.00348370643168e-08,Slc16a2,128,4.08969973356195,6.29666466345175,30.781812454671,12.9760539385692,C2
Slc16a4,OK,negbinomial.size,6.1716228064345e-22,2.23621363828639e-20,Slc16a4,112,4.93077782534299,24.8116171182839,0.263451273109384,8.56159191470446,C3
Slc17a9,OK,negbinomial.size,9.0511542063856e-24,3.75564505021736e-22,Slc17a9,38,0.0020687407121817,5.68637055919954,0.00135787874051598,3.47952939101503,C3
Slc18a2,OK,negbinomial.size,3.14460696593073e-19,9.21391330359155e-18,Slc18a2,167,23.2051813244097,10.2913256591982,14.9911249209885,148.141724659154,C4
Slc1a3,OK,negbinomial.size,5.11665854139375e-23,1.98838606700749e-21,Slc1a3,161,12.5493560406704,2.09639064232819,17.0608615234886,0.0533559870333876,C2
Slc1a4,OK,negbinomial.size,0.00450424096088659,0.0162382431277702,Slc1a4,76,5.63383077614144,7.87940643447611,1.11389747025808,1.34218703400509,C3
Slc22a15,OK,negbinomial.size,0.00865894571941127,0.0281475913037117,Slc22a15,23,0.535227719949768,0.074180630627417,1.88056491242513,0.22623865657955,C2
Slc22a17,OK,negbinomial.size,0.0129797691883936,0.0394888294868276,Slc22a17,218,16.8072440624738,34.2229899164645,29.7533802055232,38.6740989570686,C4
Slc22a3,OK,negbinomial.size,9.90091869879026e-19,2.80518760402069e-17,Slc22a3,18,3.09035372805455,0.000387016670161312,0,0,C1
Slc23a2,OK,negbinomial.size,0.0114986312955685,0.0356832073232565,Slc23a2,177,4.18905497828847,7.84057651562027,10.1062188381617,12.0405123924566,C4
Slc24a5,OK,negbinomial.size,0.000710229381202832,0.00332365112895758,Slc24a5,556,354.712551303489,308.224952834358,504.330430889431,631.599551497397,C4
Slc25a1,OK,negbinomial.size,0.000982934994329874,0.00443009559637883,Slc25a1,158,8.54209690097297,24.1577191386157,6.40452640919126,14.5172300943965,C3
Slc25a11,OK,negbinomial.size,0.0170539016404068,0.0495738614238537,Slc25a11,347,50.0792121800203,63.8948752164866,27.4063131542924,46.4996270010542,C3
Slc25a12,OK,negbinomial.size,0.000516378133220705,0.00251597421500679,Slc25a12,153,2.44595774992405,5.81496353274546,5.37510073808407,15.0674252410547,C4
